"nummonnaie","shortmonnaie"
"1",NULL
"2","EUR"
"3","USD"
"4","AUD"
"5","CAD"
"6","GBP"
"7","INR"
"8","SEK"
"9","FRF"
"10","JPY"
"11","CHF"
"12","MYR"
"13","BRL"
"14","LACS"
"15","DZD"
"16","KRW"
