"numgainrex","codesolution","coderex","gainfinanciergainrex","codemonnaiegainrex","codeperiodeeconomie","energiegainrex","uniteenergiegainrex","codeperiodeenergie","gesgainrex","minigainrex","maxigainrex","moyengainrex","reelgainrex","trireelgainrex","trimingainrex","trimaxgainrex","codelicense"
"2936","250","608","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","10.0","NULL","3"
"3385","250","1281","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3494","250","1771","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4047","250","750","900000.0","7","3","NULL","1","1","NULL","NULL","NULL","NULL","0.1","1.4","NULL","NULL","3"
"690","251","427","NULL","1","1","1008000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1006","251","393","NULL","1","1","59094.0","5","3","NULL","NULL","NULL","NULL","0.35","NULL","NULL","NULL","3"
"2407","251","597","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2722","251","625","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2741","251","627","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2899","251","621","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2937","251","608","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"704","252","431","NULL","1","1","8425000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1437","252","2049","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2545","252","1198","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2731","252","626","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2742","252","627","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2771","252","1263","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2929","252","505","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"499","253","344","NULL","2","3","NULL","15","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"559","253","366","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"564","253","367","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"649","253","410","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"673","253","425","NULL","1","1","1048604.0","6","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"682","253","426","21.0","2","1","NULL","1","1","NULL","NULL","NULL","NULL","0.04","NULL","NULL","NULL","3"
"695","253","428","NULL","1","1","4777000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"698","253","428","NULL","1","1","4571000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"705","253","431","NULL","1","1","8425000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"708","253","432","6800.0","2","2","2430000.0","6","2","NULL","NULL","NULL","NULL","0.0171","NULL","NULL","NULL","3"
"1005","253","393","NULL","1","1","49034.0","5","3","NULL","NULL","NULL","NULL","0.29","NULL","NULL","NULL","3"
"1025","253","397","5700.0","2","3","55.0","12","3","NULL","NULL","NULL","NULL","0.137","50.0","NULL","NULL","3"
"2008","253","498","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2402","253","597","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"648","254","410","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"671","254","425","NULL","1","1","2928000.0","6","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"703","254","431","NULL","1","1","8425000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1023","254","397","8333.0","2","3","174300.0","5","3","NULL","NULL","NULL","NULL","0.37","12.0","NULL","NULL","3"
"1438","254","2049","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1940","254","1970","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2007","254","498","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2517","254","635","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2547","254","1198","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2755","254","1194","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2758","254","1195","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4092","254","2097","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"672","255","425","NULL","1","1","1218600.0","6","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1939","255","1970","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2759","255","1195","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2761","255","1196","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3542","255","1790","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2076","257","2054","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1908","258","1749","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2672","258","1762","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1990","261","843","43536.0","3","3","5044.0","11","1","NULL","NULL","NULL","NULL","NULL","9.8","NULL","NULL","3"
"2556","261","1265","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2773","261","1263","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2757","268","1194","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"363","275","110","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"565","276","367","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"691","276","427","NULL","1","1","291232.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"692","276","428","NULL","1","1","34140000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"696","276","428","NULL","1","1","7752000.0","6","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1790","276","1958","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1955","276","1973","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2220","276","1227","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2289","276","1275","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2300","276","1241","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2337","276","1251","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2476","276","631","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2511","276","634","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2536","276","717","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3021","276","1660","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3041","276","1784","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3046","276","1846","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3498","276","1985","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1787","277","1958","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"577","280","369","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","1.2","NULL","NULL","3"
"784","280","484","287806.0","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2066","280","2053","21445.0","2","3","402.0","12","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2874","280","1786","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3073","280","1975","NULL","1","3","600.0","2","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3862","286","1272","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2802","291","1659","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3276","291","1731","NULL","1","3","491.0","2","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3094","294","694","59938.0","5","3","5000.0","2","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"674","298","425","NULL","1","1","316800.0","6","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2969","322","1441","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3173","322","1912","1640000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3174","322","1914","250000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3175","322","1915","721754.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3176","322","1916","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3179","322","1917","360000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3181","322","1918","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3184","322","1919","400000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3200","322","1921","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3208","322","1922","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3210","322","1923","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3234","322","1924","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3247","322","1925","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3262","322","1926","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3271","322","1927","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3272","322","1928","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3273","322","1929","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3459","322","1556","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3488","322","1768","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3521","322","1836","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3522","322","1837","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3525","322","1840","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3569","322","1887","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3571","322","1888","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3572","322","1889","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3573","322","1890","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3631","322","1813","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"27","325","37","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"48","325","47","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","2.1","NULL","NULL","3"
"618","325","368","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.25","NULL","NULL","NULL","3"
"933","325","50","1800000.0","3","3","221000.0","11","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2082","325","851","78930.0","3","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","1.9","NULL","NULL","3"
"2199","325","866","120000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","1.08","NULL","NULL","3"
"848","328","487","3114.0","6","3","NULL","1","1","224.0","NULL","NULL","NULL","NULL","3.5","NULL","NULL","3"
"133","329","199","45480.0","2","3","505.0","12","3","NULL","NULL","NULL","NULL","0.4","NULL","NULL","NULL","3"
"135","329","200","279357.0","2","3","905.0","12","3","NULL","NULL","NULL","NULL","NULL","1.8","NULL","NULL","3"
"137","329","202","NULL","1","1","205.0","12","3","158.0","NULL","NULL","NULL","NULL","NULL","9.0","23.0","3"
"138","329","202","700000.0","2","3","316.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"139","329","203","NULL","1","1","75.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","5.0","10.0","3"
"140","329","204","NULL","1","1","13.0","12","3","10.0","NULL","NULL","NULL","NULL","NULL","5.0","6.0","3"
"141","329","205","NULL","1","1","30.0","12","3","23.41","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"142","329","206","NULL","1","1","111.6","12","3","86.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"143","329","206","NULL","1","1","207.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","5.0","12.0","3"
"144","329","207","NULL","1","1","83.0","12","3","64.0","NULL","NULL","NULL","NULL","7.0","NULL","NULL","3"
"145","329","207","NULL","1","1","523.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"150","329","211","NULL","1","1","7575.0","5","3","6.7","NULL","NULL","NULL","0.14","5.6","NULL","NULL","3"
"154","329","214","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","3.5","NULL","NULL","3"
"158","329","218","NULL","1","1","277691.0","5","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"163","329","222","13146.0","2","3","155210.0","5","3","NULL","NULL","NULL","NULL","0.546","NULL","NULL","NULL","3"
"164","329","223","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.116","NULL","NULL","NULL","3"
"167","329","225","NULL","1","1","200.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"174","329","230","41600.0","2","3","362.0","12","3","NULL","NULL","NULL","NULL","0.38","1.2","NULL","NULL","3"
"175","329","231","NULL","1","1","75.0","12","3","NULL","NULL","NULL","NULL","0.75","NULL","NULL","NULL","3"
"177","329","233","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.49","3.3","NULL","NULL","3"
"191","329","240","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","4.2","NULL","NULL","3"
"193","329","242","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.53","NULL","NULL","NULL","3"
"208","329","252","NULL","1","1","70.0","12","3","NULL","0.1","0.2","NULL","NULL","3.0","NULL","NULL","3"
"212","329","255","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.22","6.0","NULL","NULL","3"
"213","329","256","64548.0","2","3","1107.0","12","3","NULL","NULL","NULL","NULL","NULL","8.1","NULL","NULL","3"
"214","329","257","725000.0","2","3","4793.0","12","3","2500.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"215","329","257","123000.0","2","3","813.0","12","3","424.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"216","329","258","102998.0","2","3","383688.0","5","3","NULL","NULL","NULL","NULL","0.43","1.8","NULL","NULL","3"
"217","329","259","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.65","NULL","NULL","NULL","3"
"218","329","259","NULL","1","1","177621.0","5","3","80.92","NULL","NULL","NULL","0.6024","NULL","NULL","NULL","3"
"240","329","269","165580.0","2","3","1447.0","12","3","2966.0","NULL","NULL","NULL","NULL","4.9","NULL","NULL","3"
"243","329","271","82265.0","2","3","30.15","12","3","NULL","NULL","NULL","NULL","NULL","1.21","NULL","NULL","3"
"273","329","288","NULL","1","1","1046.0","5","3","1224.0","NULL","NULL","NULL","0.31","NULL","NULL","NULL","3"
"279","329","294","18571.0","2","3","NULL","1","1","447.3","NULL","NULL","NULL","0.29","6.0","NULL","NULL","3"
"280","329","295","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","4.0","NULL","NULL","3"
"287","329","299","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"293","329","303","38000.0","2","3","176.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"297","329","307","NULL","1","1","9191.0","5","3","NULL","NULL","NULL","NULL","0.56","NULL","NULL","NULL","3"
"304","329","312","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"309","329","316","NULL","1","1","917.3","12","3","NULL","NULL","NULL","NULL","0.35","NULL","NULL","NULL","3"
"314","329","318","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.421","NULL","NULL","NULL","3"
"320","329","322","280000.0","2","3","NULL","1","1","NULL","NULL","NULL","NULL","0.26","NULL","NULL","NULL","3"
"327","329","326","11020.0","2","3","64620.0","5","3","NULL","NULL","NULL","NULL","0.8","3.8","NULL","NULL","3"
"333","329","329","NULL","1","1","10.3","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"335","329","330","NULL","1","1","358655.0","5","3","179.33","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"339","329","333","NULL","1","1","352.0","5","3","0.317","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"732","329","97","1243.0","3","3","9650.0","5","3","8.5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"757","329","103","291.0","3","3","5335.0","5","3","1.0","NULL","NULL","NULL","NULL","1.0","NULL","NULL","3"
"758","329","103","1309.0","3","3","24006.0","5","3","5.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"837","329","479","4800.0","6","3","53.0","12","3","29.0","NULL","NULL","NULL","NULL","5.4","NULL","NULL","3"
"871","329","519","NULL","1","1","NULL","1","1","NULL","NULL","NULL","0.25","NULL","NULL","NULL","NULL","3"
"923","329","49","NULL","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"995","329","63","NULL","1","1","2750.0","12","3","220.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1142","329","1565","2238.0","3","3","144.0","11","3","NULL","NULL","NULL","NULL","NULL","2.2","NULL","NULL","3"
"1150","329","695","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1167","329","66","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1226","329","1574","1390.0","3","3","28000.0","5","3","NULL","NULL","NULL","NULL","NULL","0.1","NULL","NULL","3"
"1252","329","1579","5897.0","3","3","245.0","11","3","NULL","NULL","NULL","NULL","NULL","2.4","NULL","NULL","3"
"1256","329","1580","3081.0","3","3","232.0","11","3","NULL","NULL","NULL","NULL","NULL","0.2","NULL","NULL","3"
"1279","329","1585","26308.0","3","3","562170.0","5","3","NULL","NULL","NULL","NULL","NULL","2.3","NULL","NULL","3"
"1330","329","1841","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1352","329","1881","49000.0","3","3","648000.0","5","3","NULL","NULL","NULL","NULL","NULL","0.4","NULL","NULL","3"
"1446","329","201","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1448","329","208","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1449","329","209","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1453","329","225","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1455","329","227","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1458","329","237","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1459","329","239","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1460","329","244","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1463","329","246","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1469","329","281","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1474","329","296","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1476","329","304","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1478","329","309","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1704","329","660","1060.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","0.52","NULL","NULL","NULL","3"
"1858","329","1879","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2016","329","665","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3092","329","694","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","5.0","NULL","NULL","3"
"3139","329","1490","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3298","329","604","5700.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","5.5","NULL","NULL","3"
"3426","329","1303","10000000.0","3","3","60000.0","12","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"523","331","355","150000.0","2","3","4000.0","12","3","2800.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"595","331","381","29690.0","2","3","1988.0","12","3","NULL","NULL","NULL","NULL","0.19","3.8","NULL","NULL","3"
"806","331","467","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.0","3"
"1219","331","1572","168000.0","3","3","2097.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1274","331","1584","1055.0","3","3","13998.0","5","3","NULL","NULL","NULL","NULL","NULL","2.0","NULL","NULL","3"
"1356","331","1885","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1369","331","1901","207811.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1395","331","1943","71000.0","3","3","475.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1398","331","1945","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"32","332","39","1100.0","2","3","14.6","12","3","0.3","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"62","332","57","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","0.6","NULL","NULL","3"
"372","332","116","NULL","1","1","79.2","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"803","332","468","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"843","332","485","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1161","332","40","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1174","332","152","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1227","332","1575","3921.0","3","3","629.0","11","3","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"1259","332","1580","1059.0","3","3","82.0","11","3","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"1261","332","1582","605.0","3","3","30.0","11","3","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"1381","332","1935","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1425","332","517","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1751","332","674","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1860","332","1879","64000.0","3","3","953000.0","5","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1910","332","1747","120000.0","3","3","2400000.0","5","1","NULL","NULL","NULL","NULL","NULL","0.67","NULL","NULL","3"
"2090","332","2055","2200.0","2","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2119","332","855","42000.0","3","1","22000.0","11","1","NULL","NULL","NULL","NULL","0.058","NULL","NULL","NULL","3"
"2525","332","581","140000.0","3","3","40000.0","5","1","NULL","NULL","NULL","NULL","NULL","0.41","NULL","NULL","3"
"2637","332","1748","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2649","332","1757","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2663","332","1762","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2723","332","1980","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
