"numgainrex","codesolution","coderex","gainfinanciergainrex","codemonnaiegainrex","codeperiodeeconomie","energiegainrex","uniteenergiegainrex","codeperiodeenergie","gesgainrex","minigainrex","maxigainrex","moyengainrex","reelgainrex","trireelgainrex","trimingainrex","trimaxgainrex","codelicense"
"1842","42","836","87420.0","3","3","1552750.0","5","1","NULL","NULL","NULL","NULL","NULL","3.34","NULL","NULL","3"
"2159","42","2070","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"394","43","121","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"507","43","347","880000.0","9","3","2940.0","12","3","NULL","NULL","NULL","NULL","0.68","2.0","NULL","NULL","3"
"512","43","348","NULL","1","1","119.0","12","3","NULL","NULL","NULL","NULL","0.61","1.5","NULL","NULL","3"
"514","43","348","NULL","1","1","60.0","14","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"540","43","360","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.15","NULL","NULL","NULL","3"
"779","43","469","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"857","43","471","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1147","43","1565","10650.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"1999","43","844","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2157","43","2070","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2583","43","658","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2892","43","185","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3000","43","1561","NULL","1","3","740613.0","5","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3011","43","1778","NULL","1","3","125000.0","7","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3165","43","1801","14000.0","2","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3393","43","1284","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3458","43","1556","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3495","43","1771","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3534","43","1789","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3566","43","1795","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3798","43","1750","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3953","43","1884","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4041","43","1620","NULL","1","3","556047.0","2","1","15.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"359","48","109","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"492","48","342","NULL","1","1","205.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"493","48","342","NULL","1","1","330.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"911","48","85","1200000.0","3","3","170000.0","11","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2036","48","815","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1098","50","854","35840.0","3","3","896000.0","5","3","NULL","NULL","NULL","NULL","NULL","0.4","NULL","NULL","3"
"1986","50","843","12470.0","1","3","283.0","11","1","NULL","NULL","NULL","NULL","NULL","2.4","NULL","NULL","3"
"3581","50","132","2354.0","3","3","27280.0","5","1","24.0","NULL","NULL","NULL","NULL","NULL","NULL","1.0","3"
"3585","50","132","9167.0","3","3","115321.0","5","1","103.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3729","50","1576","3000.0","3","3","100000.0","5","1","93.0","NULL","NULL","NULL","NULL","3.7","NULL","NULL","3"
"3958","51","1884","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"100","58","89","110.0","3","3","2970.0","5","3","NULL","NULL","NULL","NULL","0.03","0.0","NULL","NULL","3"
"101","58","89","179.0","3","3","483.0","5","3","NULL","NULL","NULL","NULL","0.046","NULL","NULL","NULL","3"
"2196","58","690","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3141","58","133","NULL","1","3","-302.0","12","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1358","60","1885","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1963","60","839","106225.0","3","3","2724000.0","5","1","NULL","NULL","NULL","NULL","NULL","0.5","NULL","NULL","3"
"927","63","49","16800.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","1.5","NULL","NULL","3"
"1157","63","40","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1194","63","1301","67000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","0.3","NULL","NULL","3"
"1156","64","40","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3034","64","1487","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3654","64","545","2100000.0","7","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3924","64","526","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2193","67","690","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3641","67","542","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3775","67","763","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3788","67","752","770000.0","7","3","241920.0","5","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.08","3"
"3795","67","575","700000.0","7","2","235000.0","5","1","NULL","NULL","NULL","NULL","NULL","0.24","NULL","NULL","3"
"3875","67","538","1800000.0","7","3","360000.0","5","1","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"3926","67","526","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3932","67","577","2590000.0","7","3","479000.0","5","1","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"3942","67","735","150000.0","6","3","NULL","15","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.08","3"
"4055","67","1895","1200000.0","3","3","220000.0","11","1","NULL","NULL","NULL","NULL","NULL","0.91","NULL","NULL","3"
"2377","69","1270","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"356","70","111","NULL","1","1","1400.0","5","3","NULL","NULL","NULL","NULL","NULL","0.5","NULL","NULL","3"
"422","70","129","187701.0","3","3","4380.0","12","3","3898.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1011","70","52","6.0","14","3","24.0","5","1","NULL","NULL","NULL","NULL","0.96","0.1","NULL","NULL","3"
"1348","70","1881","339000.0","3","3","4520000.0","5","3","NULL","NULL","NULL","NULL","NULL","0.1","NULL","NULL","3"
"1349","70","1881","240000.0","3","3","3206000.0","5","3","NULL","NULL","NULL","NULL","NULL","0.3","NULL","NULL","3"
"2985","70","1761","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3097","70","2020","NULL","1","1","457.0","12","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3472","70","617","19000.0","3","3","460000.0","5","1","NULL","NULL","NULL","NULL","NULL","1.0","NULL","NULL","3"
"3533","70","1823","69550.0","3","3","2080.0","12","1","NULL","NULL","NULL","NULL","NULL","0.16","NULL","NULL","3"
"4061","70","551","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1589","80","768","NULL","1","3","20328.0","2","1","1189.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1848","80","1692","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1879","80","802","NULL","1","3","1188.0","2","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2099","80","2055","25000.0","2","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2954","80","1304","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3154","80","134","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3380","80","1764","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
